symbol,name,reportDate,fiscalDateEnding,estimate,currency
A,Agilent Technologies Inc,2023-11-20,2023-10-31,1.35,USD
AA,Alcoa Corp,2023-10-17,2023-09-30,-0.86,USD
AACAY,AACAY,2023-11-09,2023-09-30,0.0314,CNY
AACG,ATA Creativity Global,2023-11-28,2023-09-30,,CNY
AACTF,AACTF,2023-11-29,2023-09-30,,CAD
AADI,Aadi Bioscience Inc,2023-11-07,2023-09-30,-0.72,USD
AAGIY,AAGIY,2023-11-29,2023-09-30,0,USD
AAGRY,AAGRY,2023-10-30,2023-09-30,0,IDR
AAIC,Arlington Asset Investment Corp - Class A,2023-11-13,2023-09-30,0.07,USD
AAIGF,AAIGF,2023-11-29,2023-09-30,0,USD
AAIRD,AAIRD,2023-12-04,2023-09-30,,CAD
AAIRF,AAIRF,2023-12-04,2023-09-30,,CAD
AAL,American Airlines Group Inc,2023-10-18,2023-09-30,0.43,USD
AAM-PA,AAM-PA,2023-11-06,2023-09-30,,USD
AAMC,Altisource Asset Management Corp,2023-10-31,2023-09-30,,USD
AAME,Atlantic American Corp,2023-11-06,2023-09-30,,USD
AAN,Aarons Company Inc (The),2023-10-23,2023-09-30,0.07,USD
AAOI,Applied Optoelectronics Inc,2023-11-01,2023-09-30,-0.05,USD
AAON,AAON Inc,2023-11-06,2023-09-30,0.55,USD
AAP,Advance Auto Parts Inc,2023-11-13,2023-09-30,1.46,USD
AAPL,Apple Inc,2023-10-25,2023-09-30,1.39,USD
AAT,American Assets Trust Inc,2023-10-23,2023-09-30,0.16,USD
AATC,AATC,2023-11-14,2023-09-30,0,USD
AATGF,AATGF,2023-11-29,2023-09-30,,CAD
AAU,Almaden Minerals Ltd,2023-11-06,2023-09-30,-0.0135,USD
AAVVF,AAVVF,2023-10-26,2023-09-30,0.11,CAD
AAWH,AAWH,2023-11-10,2023-09-30,-0.09,USD
AAWW,AAWW,2023-11-01,2023-09-30,,USD
AB,AllianceBernstein Holding Lp,2023-10-26,2023-09-30,0.65,USD
ABBNY,ABBNY,2023-10-18,2023-09-30,0.5135,USD
ABBRF,ABBRF,2023-11-29,2023-09-30,0,CAD
ABBV,Abbvie Inc,2023-10-26,2023-09-30,2.87,USD
ABC,ABC,2023-11-01,2023-09-30,2.79,USD
ABCAF,ABCAF,2023-11-21,2023-09-30,,CAD
ABCB,Ameris Bancorp,2023-10-25,2023-09-30,1.14,USD
ABCL,AbCellera Biologics Inc,2023-11-06,2023-09-30,-0.13,USD
ABCP,ABCP,2023-11-01,2023-09-30,,USD
ABEO,Abeona Therapeutics Inc,2023-11-13,2023-09-30,-0.52,USD
ABEV,Ambev S.A.,2023-10-31,2023-09-30,0.0434,BRL
ABG,Asbury Automotive Group Inc,2023-10-25,2023-09-30,8.46,USD
ABILF,ABILF,2023-11-14,2023-09-30,0,USD
ABIO,ARCA biopharma Inc,2023-10-26,2023-09-30,,USD
ABL,Abacus Life Inc - Class A,2023-11-21,2023-09-30,,USD
ABLZF,ABLZF,2023-10-18,2023-09-30,0.5135,USD
ABM,ABM Industries Inc,2023-12-11,2023-10-31,0.92,USD
ABMC,ABMC,2023-11-16,2023-09-30,0,USD
ABMD,ABMD,2023-10-30,2023-09-30,,USD
ABML,ABML,2023-11-13,2023-09-30,-0.01,USD
ABMLD,ABMLD,2023-09-25,2023-06-30,-0.15,USD
ABMLD,ABMLD,2023-11-13,2023-09-30,-0.01,USD
ABNB,Airbnb Inc - Class A,2023-10-30,2023-09-30,1.94,USD
ABOS,Acumen Pharmaceuticals Inc,2023-11-13,2023-09-30,-0.3494,USD
ABR,Arbor Realty Trust Inc,2023-11-02,2023-09-30,0.46,USD
ABSI,Absci Corp,2023-11-08,2023-09-30,-0.228,USD
ABSSF,ABSSF,2023-11-06,2023-09-30,,USD
ABST,ABST,2023-11-06,2023-09-30,-0.105,USD
ABT,Abbott Laboratories,2023-10-17,2023-09-30,1.09,USD
ABTI,ABTI,2023-11-17,2023-09-30,,USD
ABUS,Arbutus Biopharma Corp,2023-11-07,2023-09-30,-0.11,USD
ABVC,ABVC BioPharma Inc,2023-11-13,2023-09-30,-0.04,USD
AC,Associated Capital Group Inc - Class A,2023-11-09,2023-09-30,,USD
ACA,Arcosa Inc,2023-10-31,2023-09-30,0.67,USD
ACAD,Acadia Pharmaceuticals Inc,2023-10-31,2023-09-30,-0.44,USD
ACAI,ACAI,2023-10-11,2023-08-31,0,USD
ACAN,ACAN,2023-11-18,2023-09-30,,USD
ACAZF,ACAZF,2023-10-24,2023-09-30,,CAD
ACB,Aurora Cannabis Inc,2023-11-08,2023-09-30,-0.0443,CAD
ACBM,ACBM,2023-11-22,2023-09-30,,USD
ACCD,Accolade Inc,2023-10-04,2023-08-31,-0.54,USD
ACCFF,ACCFF,2023-10-31,2023-09-30,,CAD
ACCO,Acco Brands Corporation,2023-11-06,2023-09-30,0.23,USD
ACCYY,ACCYY,2023-10-26,2023-09-30,0,EUR
ACDC,ProFrac Holding Corp Class A,2023-11-11,2023-09-30,0.1,USD
ACDVF,ACDVF,2023-10-26,2023-09-30,1.55,CAD
ACEL,Accel Entertainment Inc - Class A1,2023-11-06,2023-09-30,0.17,USD
ACER,Acer Therapeutics Inc,2023-11-13,2023-09-30,-0.12,USD
ACET,Adicet Bio Inc,2023-11-06,2023-09-30,-0.74,USD
ACFN,ACFN,2023-11-08,2023-09-30,,USD
ACFND,ACFND,2023-11-08,2023-09-30,,USD
ACGL,Arch Capital Group Ltd,2023-10-24,2023-09-30,1.29,USD
ACGN,Aceragen Inc,2023-11-13,2023-09-30,,USD
ACHC,Acadia Healthcare Company Inc,2023-10-30,2023-09-30,0.89,USD
ACHL,Achilles Therapeutics Plc,2023-11-06,2023-09-30,-0.4,USD
ACHR,Archer Aviation Inc - Class A,2023-11-08,2023-09-30,-0.3,USD
ACHV,Achieve Life Sciences Inc,2023-11-13,2023-09-30,-0.38,USD
ACI,Albertsons Companies Inc - Class A,2023-10-16,2023-08-31,0.56,USD
ACIC,American Coastal Insurance Corp,2023-11-07,2023-09-30,-0.15,USD
ACIU,AC Immune SA,2023-10-26,2023-09-30,0.03,CHF
ACIW,ACI Worldwide Inc,2023-10-31,2023-09-30,0.12,USD
ACKAY,ACKAY,2023-10-27,2023-09-30,0.5903,TRY
ACLLF,ACLLF,2023-10-25,2023-09-30,,CAD
ACLS,Axcelis Technologies Inc,2023-10-31,2023-09-30,1.73,USD
ACLX,Arcellx Inc,2023-11-13,2023-09-30,-0.545,USD
ACM,AECOM,2023-11-13,2023-09-30,0.98,USD
ACMR,ACM Research Inc - Class A,2023-11-02,2023-09-30,0.35,USD
ACMTA,ACMTA,2023-11-01,2023-09-30,,USD
ACN,Accenture plc - Class A,2023-09-28,2023-08-31,2.64,USD
ACN,Accenture plc - Class A,2023-12-14,2023-11-30,3.17,USD
ACNB,ACNB Corp,2023-10-25,2023-09-30,0.99,USD
ACNT,Ascent Industries Company,2023-11-06,2023-09-30,-0.12,USD
ACON,Aclarion Inc,2023-11-29,2023-09-30,-0.09,USD
ACOR,Acorda Therapeutics Inc,2023-10-30,2023-09-30,,USD
ACR,ACRES Commercial Realty Corp,2023-11-01,2023-09-30,0.46,USD
ACRE,Ares Commercial Real Estate Corp,2023-10-31,2023-09-30,0.21,USD
ACRG,ACRG,2023-11-08,2023-09-30,,USD
ACRHF,ACRHF,2023-11-06,2023-09-30,,USD
ACRS,Aclaris Therapeutics Inc,2023-11-06,2023-09-30,-0.48,USD
ACRV,Acrivon Therapeutics Inc,2023-11-29,2023-09-30,-0.71,USD
ACRX,Acelrx Pharmaceuticals Inc,2023-11-13,2023-09-30,-0.29,USD
ACSAY,ACSAY,2023-11-09,2023-09-30,0.1213,EUR
ACST,Acasti Pharma Inc - Class A,2023-11-13,2023-09-30,-0.11,USD
ACT,Enact Holdings Inc,2023-10-30,2023-09-30,0.86,USD
ACTG,Acacia Research Corp,2023-11-01,2023-09-30,0.12,USD
ACTX,ACTX,2023-11-15,2023-09-30,,USD
ACU,Acme United Corp,2023-10-19,2023-09-30,0.7,USD
ACUR,ACUR,2023-11-13,2023-09-30,0,USD
ACUS,ACUS,2023-11-06,2023-09-30,0,USD
ACVA,ACV Auctions Inc - Class A,2023-11-07,2023-09-30,-0.15,USD
ACWRF,ACWRF,2023-11-21,2023-09-30,,CAD
ACXP,Acurx Pharmaceuticals Inc,2023-11-13,2023-09-30,-0.27,USD
ADAG,Adagene Inc,2023-11-29,2023-09-30,-0.38,USD
ADAP,Adaptimmune Therapeutics Plc,2023-11-02,2023-09-30,-0.174,USD
ADBE,Adobe Inc,2023-12-13,2023-11-30,4.14,USD
ADBRF,ADBRF,2023-10-26,2023-09-30,,USD
ADC,Agree Realty Corp,2023-10-30,2023-09-30,0.42,USD
ADCOF,ADCOF,2023-11-13,2023-09-30,,USD
ADCT,Adc Therapeutics SA,2023-11-06,2023-09-30,-0.63,USD
ADDYY,ADDYY,2023-11-08,2023-09-30,0.1467,EUR
ADEA,Adeia Inc,2023-11-07,2023-09-30,0.29,USD
ADER,26 Capital Acquisition Corp - Class A,2023-11-12,2023-09-30,,USD
ADERY,ADERY,2023-11-14,2023-09-30,0,JPY
ADES,Advanced Emissions Solutions Inc,2023-11-06,2023-09-30,-0.11,USD
ADFJF,ADFJF,2023-12-05,2023-10-31,,CAD
ADFS,ADFS,2023-11-21,2023-09-30,0,USD
ADI,Analog Devices Inc,2023-11-20,2023-10-31,2.01,USD
ADIL,Adial Pharmaceuticals Inc,2023-11-13,2023-09-30,-1.13,USD
